@relation studySample_30

@attribute -0.6516242982752738 numeric
@attribute -0.6489283164800124 numeric
@attribute -0.19971725201063034 numeric
@attribute -0.671316616861742 numeric
@attribute 0.6130707948692508 numeric
@attribute -0.6479121363762308 numeric
@attribute -0.14817488206053933 numeric
@attribute 0.5255649184813077 numeric
@attribute 0.3354948938511434 numeric
@attribute -0.3234530258868131 numeric
@attribute 0.10921566415932948 numeric
@attribute 0.10383979353829553 numeric
@attribute 0.25434242342084834 numeric
@attribute -0.2024335939326693 numeric
@attribute -0.046423739233244415 numeric
@attribute -0.9193111332401696 numeric
@attribute -0.6125826398661102 numeric
@attribute 0.5680280787042172 numeric
@attribute -0.004053210112152372 numeric
@attribute -0.05526006763874264 numeric
@attribute -0.0747596316166047 numeric
@attribute -0.5703126460537884 numeric
@attribute 0.013396437210287382 numeric
@attribute -0.42938105301600404 numeric
@attribute -0.38091881692169494 numeric
@attribute 1.1485674336525316 numeric
@attribute 0.02278552717455873 numeric
@attribute 0.18514911571691492 numeric
@attribute -0.07656603322748678 numeric
@attribute 0.7146560768466039 numeric
@attribute 'very not sure' {'very not sure','not sure','little not sure','little sure',sure,'very sure'}

@data
-1.1794,-2.818595,2.168137,-2.96228,3.389781,-1.644553,0.282212,-1.443232,-3.555593,2.045234,3.370087,1.607347,-0.68846,-0.757009,0.757342,-0.412211,-3.76361,1.02889,-2.347777,4.003112,1.129714,-0.729115,1.808473,-3.897448,-0.855177,1.198167,-2.070954,1.223398,2.040713,-0.876202,'very not sure'
-0.435582,-0.393283,0.040724,-0.770004,0.259695,-0.300926,-0.67643,-0.210918,0.325316,0.740695,-0.109552,-0.19905,0.742701,0.144169,0.113755,-1.628869,-1.019479,0.118291,-1.275849,0.680903,-0.069025,-1.436833,-1.155445,2.043159,0.130799,-0.651115,-0.509324,1.953941,0.779312,1.278273,'very not sure'
0.289255,0.35538,0.540514,-0.175544,0.230612,-0.127064,0.200837,-0.579216,-0.649175,0.029186,0.593951,0.253685,0.165802,0.468897,0.45756,1.206625,0.044607,0.020998,0.108531,1.273182,0.262777,0.561615,0.54245,-1.528628,0.187405,-0.793103,-1.419616,1.318648,0.003382,-0.464552,'very not sure'
-0.435582,-0.393283,0.040724,-0.770004,0.259695,-0.300926,-0.67643,-0.210918,0.325316,0.740695,-0.109552,-0.19905,0.742701,0.144169,0.113755,-1.628869,-1.019479,0.118291,-1.275849,0.680903,-0.069025,-1.436833,-1.155445,2.043159,0.130799,-0.651115,-0.509324,1.953941,0.779312,1.278273,'very not sure'
-0.330643,-0.32173,0.105993,-0.402872,0.241424,-0.520203,-0.050891,0.428119,0.608071,-0.360451,-0.396796,-0.557401,0.128488,0.126558,-0.008392,-1.682818,0.002432,-0.118955,-0.262314,-0.36031,0.345943,-0.846591,-0.582376,1.522958,-0.701738,0.177891,-1.058418,0.401782,-0.289105,0.731642,'very not sure'
-0.435582,-0.393283,0.040724,-0.770004,0.259695,-0.300926,-0.67643,-0.210918,0.325316,0.740695,-0.109552,-0.19905,0.742701,0.144169,0.113755,-1.628869,-1.019479,0.118291,-1.275849,0.680903,-0.069025,-1.436833,-1.155445,2.043159,0.130799,-0.651115,-0.509324,1.953941,0.779312,1.278273,'very not sure'
-0.223923,0.002997,1.20106,-1.376348,-0.156137,-0.351721,-0.012909,-0.927774,-0.406321,-0.275197,0.491007,1.066157,0.565314,0.618799,-0.050021,0.800589,-0.219873,-0.263832,-1.462089,0.957307,1.355276,-0.694072,-1.265145,1.020118,0.936991,-0.010285,0.257094,-0.053045,0.728624,0.075982,'very not sure'
0.05024,0.240083,0.486703,-0.43197,0.45272,0.283647,-0.583644,-0.440507,-0.335896,0.014405,0.886235,0.264553,0.58842,0.535241,0.710362,1.181018,0.420912,0.062792,-0.296515,1.57013,2.594838,-1.47271,0.265329,-1.075572,-0.625753,0.874455,-1.657362,1.399914,0.242936,0.146474,'very not sure'
0.252889,0.092366,0.706184,-0.391913,-0.713631,-0.410834,-0.076452,-0.667161,0.243158,0.486022,-0.186427,0.31056,0.172253,-0.1877,-0.401783,-0.64837,1.38995,0.392276,-0.692881,-2.760159,-2.209112,1.324671,-0.343338,3.129588,0.971447,0.89598,1.652326,-0.664762,0.125273,-0.017605,'very not sure'
1.609847,-2.24668,-1.016866,-1.223412,0.093581,0.109709,1.760633,1.893053,-0.592587,-0.838916,0.994528,1.087309,-3.179914,-1.43812,-1.222483,1.407053,-4.617489,-0.634164,-2.097438,-1.317099,-0.9857,-0.767895,0.928615,-2.256553,1.480601,1.286708,-1.119518,-3.568837,-1.825732,-0.868059,'very not sure'
